epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,160.345,0.46799,0.74721,0.98357,0.49612,1,0.995,0.8955,0.58492,6.15939,1.03081,0.0002416,0.0002416,0.0002416
22,166.92,0.42045,0.8579,0.94705,0.49612,1,0.995,0.8955,0.58492,6.15939,1.03081,0.000245364,0.000245364,0.000245364
23,173.787,0.47868,1.19814,0.94538,0.57846,1,0.9125,0.83804,0.55648,2.92158,1.00169,0.000248336,0.000248336,0.000248336
24,180.49,0.58223,0.62648,0.8994,0.57846,1,0.9125,0.83804,0.55648,2.92158,1.00169,0.000250516,0.000250516,0.000250516
25,187.421,0.53666,0.71061,0.93654,0.59849,1,0.83,0.79704,0.32738,2.00185,0.91326,0.000251904,0.000251904,0.000251904
26,194.282,0.46129,0.69614,0.94544,0.59849,1,0.83,0.79704,0.32738,2.00185,0.91326,0.0002525,0.0002525,0.0002525
27,201.238,0.38178,0.66011,0.88269,0.51799,1,0.9125,0.85479,0.42465,2.36228,0.95236,0.000252304,0.000252304,0.000252304
28,208.081,0.4805,0.55324,0.93344,0.51799,1,0.9125,0.85479,0.42465,2.36228,0.95236,0.000251316,0.000251316,0.000251316
29,215.037,0.39898,0.70849,0.89215,0.49755,1,0.9125,0.85479,0.57165,2.86107,1.09599,0.000249536,0.000249536,0.000249536
30,221.891,0.45358,0.62356,0.9256,0.49755,1,0.9125,0.85479,0.57165,2.86107,1.09599,0.000246964,0.000246964,0.000246964
31,228.819,0.46608,0.56876,0.96199,0.49798,1,0.83,0.78054,0.50484,2.74869,1.05962,0.0002436,0.0002436,0.0002436
32,235.779,0.37656,0.59899,0.91174,0.49798,1,0.83,0.78054,0.50484,2.74869,1.05962,0.000239444,0.000239444,0.000239444
33,242.854,0.36246,0.62771,0.88539,0.55226,1,0.83,0.78054,0.42197,2.40625,1.00528,0.000234496,0.000234496,0.000234496
34,250.558,0.30425,0.52208,0.7881,0.55226,1,0.83,0.78054,0.42197,2.40625,1.00528,0.000228756,0.000228756,0.000228756
35,258.511,0.31752,0.50345,0.90512,0.58526,1,0.83,0.79704,0.39942,2.29875,0.9613,0.000222224,0.000222224,0.000222224
36,1655.57,0.33784,0.47056,0.91104,0.58526,1,0.83,0.79704,0.39942,2.29875,0.9613,0.0002149,0.0002149,0.0002149
37,1664.07,0.36005,0.59363,0.91764,0.59506,1,0.83,0.79704,0.38311,1.89606,0.93151,0.000206784,0.000206784,0.000206784
38,1670.63,0.33077,0.53968,0.89026,0.59506,1,0.83,0.79704,0.38311,1.89606,0.93151,0.000197876,0.000197876,0.000197876
39,1682.85,0.35222,0.43912,0.91019,0.7119,1,0.83,0.83,0.34154,1.51069,0.91028,0.000188176,0.000188176,0.000188176
40,1696.74,0.37057,0.64155,0.88023,0.7119,1,0.83,0.83,0.34154,1.51069,0.91028,0.000177684,0.000177684,0.000177684
41,1709.82,0.26778,1.08448,0.95489,0.72264,1,0.83,0.83,0.30184,1.2582,0.89394,0.0001664,0.0001664,0.0001664
42,1722.43,0.26373,0.74928,0.89377,0.72264,1,0.83,0.83,0.30184,1.2582,0.89394,0.000154324,0.000154324,0.000154324
43,1735.13,0.25663,0.79967,0.9174,0.72559,1,0.83,0.83,0.26397,1.14684,0.88403,0.000141456,0.000141456,0.000141456
44,1748.42,0.34569,0.77297,0.89275,0.72559,1,0.83,0.83,0.26397,1.14684,0.88403,0.000127796,0.000127796,0.000127796
45,1761.5,0.25822,0.84017,0.98772,0.72909,1,0.83,0.83,0.26022,1.16503,0.88293,0.000113344,0.000113344,0.000113344
46,1774.35,0.2314,0.69414,0.92139,0.72909,1,0.83,0.83,0.26022,1.16503,0.88293,9.81e-05,9.81e-05,9.81e-05
47,1787.86,0.24469,0.70265,0.92708,0.72505,1,0.83,0.83,0.27123,1.1862,0.89091,8.2064e-05,8.2064e-05,8.2064e-05
48,1801.26,0.36068,0.7654,0.88861,0.72505,1,0.83,0.83,0.27123,1.1862,0.89091,6.5236e-05,6.5236e-05,6.5236e-05
49,1815.06,0.23337,0.73756,0.85945,0.70153,1,0.83,0.83,0.31329,1.23509,0.92095,4.7616e-05,4.7616e-05,4.7616e-05
50,1828.64,0.23331,0.67467,0.81346,0.70153,1,0.83,0.83,0.31329,1.23509,0.92095,2.9204e-05,2.9204e-05,2.9204e-05
